Name	Contrast	Age	Time from diagnosis	Sign	Significance	Comment	Population	N Case	N Control	Author	Year	Journal	Source	URL	Authors
LPC(20:4)	PT1D/P1Ab	3 m		-1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8 	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PC(31:0)	PT1D/P1Ab	3 m		-1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8 	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PC(32:0)	PT1D/P1Ab	3 m		-1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PC(34:3)	PT1D/P1Ab	3 m		-1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PC(36:2)	PT1D/P1Ab	3 m		-1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PC(36:5)	PT1D/P1Ab	3 m		-1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PC(40:4)	PT1D/P1Ab	3 m		-1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PC(O-36:5)	PT1D/P1Ab	3 m		-1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
PC(O-40:4)	PT1D/P1Ab	3 m		-1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
SM(d36:0)	PT1D/P1Ab	3 m		-1	adj p < 0.1		Finland			Lamichhane	2018	Scientific Reports	Figure 4a	https://doi.org/10.1038/s41598-018-28907-8	"Santosh Lamichhane, Linda Ahonen, Thomas Sparholt Dyrlund, Esko Kemppainen, Heli Siljander, Heikki Hyöty, Jorma Ilonen, Jorma Toppari, Riitta Veijola, Tuulia Hyötyläinen, Mikael Knip, Matej Oresic "
