"Lipids"	"A Oresic (2008) Journal of Experimental Medicine"	"B Sen (2020) Diabetologia"	"C Overgaard (2018) Metabolomics"	"D Li (2021) Diabetes"	"E Li (2020) Diabetes"	"F Lamichhane (2018) Scientific Reports"	"G La Torre (2013) Diabetes"	"H Vigers (2021) Metabolites"	"I Lamichhane (2019) Biomolecules"	"J Svärd (2020) Metabolomics"	"K Sorensen (2010) Clinical Biochemistry"	"L Pflueger (2011) Diabetes"	"Total"
"LPC(18:3)"	"+"	""	""	""	""	""	""	""	""	""	"+"	"+"	3
"TG(56:2)"	""	""	""	""	"-"	""	""	""	""	""	"+"	""	2
"LPC(16:0), LPC(18:1)"	""	""	""	"-"	""	""	""	""	""	"+"	""	""	2
"LPC(18:0)"	"+"	""	""	"-"	""	""	""	""	""	""	""	""	2
"PC(33:1)"	""	""	""	""	"-"	""	""	""	""	"+"	""	""	2
"PC(33:0)"	""	""	""	""	""	"-"	""	""	""	"+"	""	""	2
"SM(36:2)"	""	""	""	""	"-"	"-"	""	""	""	""	""	""	2
"TG(56:5)"	""	""	""	""	""	"+"	""	""	""	"-"	""	""	2
"PC(38:5)"	""	""	""	""	""	""	""	""	""	"-"	""	"+"	2
"TG(51:3)"	""	"-"	""	""	""	""	""	""	"+"	""	""	""	2
"PC(30:0)"	""	"-"	""	""	""	""	""	""	""	""	"+"	""	2
"PC(36:3)"	""	"-"	""	""	"-"	""	""	""	""	""	""	""	2
"TG(50:2)"	""	""	"-"	""	""	""	""	""	""	""	""	"+"	2
"CE(18:2)"	""	""	"-"	""	""	""	""	""	"+"	""	""	""	2
"DG(34:1), DG(36:2), LPC(20:2)"	""	""	"-"	"-"	""	""	""	""	""	""	""	""	2
"TG(52:3), TG(52:4)"	"-"	""	"-"	""	""	""	""	""	""	""	""	""	2
"TG(50:3)"	"-"	"-"	"-"	""	""	""	""	""	""	""	""	""	3
"CE(18:1), TG(48:3)"	""	"-"	"-"	""	""	""	""	""	""	""	""	""	2
"PC(36:4)"	"-"	"-"	""	""	""	""	"-"	""	""	""	"+"	"+"	5
"TG(46:1)"	"-"	""	""	""	""	""	""	""	"-"	""	"+"	""	3
"TG(46:2), TG(48:1)"	"-"	""	""	""	""	""	""	""	"-"	""	""	""	2
"PC(36:5)"	"-"	""	""	""	""	""	""	""	""	""	"+"	"+"	3
"PC(32:2)"	"-"	""	""	""	""	""	""	""	""	""	"+"	""	2
"PC(38:6)"	"-"	""	""	""	""	""	"-"	""	""	""	""	""	2
"PC-O/P(32:1)"	"-"	""	""	""	""	""	""	"+"	""	""	""	""	2
"PC-O/P(36:4), TG(53:3)"	"-"	""	""	""	"-"	""	""	""	""	""	""	""	2
"PC(34:3)"	"-"	""	""	""	""	""	""	""	""	""	""	"+"	2
"TG(50:1)"	"-"	"-"	""	""	""	""	""	""	""	""	""	"+"	3
"Cer(40:1), PC-O/P(38:5), TG(51:1), TG(52:5), TG(54:2), TG(54:3), TG(54:5)"	"-"	"-"	""	""	""	""	""	""	""	""	""	""	2
