"Class abbreviation"	"Class name"	"Number of unique species in review"	"Example species"
"CE"	"Cholesterol-ester"	8	"CE(18:1)"
"Cer"	"Ceramide"	4	"Cer(40:1)"
"DG"	"Diacylglycerol"	8	"DG(32:1)"
"LPC"	"Lyso-phosphatidylcholine"	8	"LPC(18:3)"
"LPE"	"Lyso-phosphatidylethanolamine"	2	"LPE(16:0)"
"PC"	"Phosphatidylcholine"	21	"PC(36:4)"
"PC-O/P"	"Alkyl-acyl PC"	12	"PC-O/(38:5)"
"PE"	"Phosphatidylethanolamine"	2	"PE(36:2)"
"PE-O/P"	"Alkyl-acyl PE"	1	"PE-O/P(34:4)"
"PI"	"Phosphatidylinositol"	1	"PI(38:4)"
"SM"	"Sphingomyelin"	7	"SM(42:1)"
"TG"	"Triacylglycerol"	40	"TG(50:1)"
